title,publish_time,authors,journal
"Covid-19: now is not the time to judge the UK's response.","{""value"":""2020-06-19""}","Slingo, Mary",BMJ
US healthcare workers march against racism despite the risks.,"{""value"":""2020-06-19""}","Nelson, Bryn",BMJ
Covid-19: Public health agencies review whether vitamin D supplements could reduce risk.,"{""value"":""2020-06-19""}","Torjesen, Ingrid",BMJ
"Covid-19: Health and care workers will be ""highest priority"" for vaccination, says JCVI.","{""value"":""2020-06-19""}","Wise, Jacqui",BMJ
"UK's response to covid-19: crude, unadjusted mortality figures are not the whole story.","{""value"":""2020-06-19""}","Greenberg, Aryeh L; Greenberg, Harry",BMJ
CQC says inspections suspended for covid-19 crisis will restart in autumn.,"{""value"":""2020-06-19""}","Iacobucci, Gareth",BMJ
Covid-19: UK drops its own contact tracing app to switch to Apple and Google model.,"{""value"":""2020-06-19""}","Wise, Jacqui",BMJ
Covid-19: public health expertise is being sidelined.,"{""value"":""2020-06-19""}","Armitage, Marie",BMJ
Ethical decision making in a pandemic: where are the voices of vulnerable people?,"{""value"":""2020-06-19""}","McCullough, Melissa",BMJ
"Covid-19: Doctors may quit without proper post-pandemic support, defence body warns.","{""value"":""2020-06-21""}","Rimmer, Abi",BMJ
Covid-19 in Peru: from supervised walks for children to the first case of Kawasaki-like syndrome.,"{""value"":""2020-06-22""}","Yáñez, Jaime A; Alvarez-Risco, Aldo; Delgado-Zegarra, Jaime",BMJ
"Covid-19: Ethnic minority doctors feel more pressured and less protected than white colleagues, survey finds.","{""value"":""2020-06-22""}","Mahase, Elisabeth",BMJ
Five minutes with . . . Aarti Bansal.,"{""value"":""2020-06-22""}","Rimmer, Abi",BMJ
Covid-19: Local health teams trace eight times more contacts than national service.,"{""value"":""2020-06-22""}","Mahase, Elisabeth",BMJ
Judge rules that baby should be removed from ventilator and given palliative care.,"{""value"":""2020-06-22""}","Dyer, Clare",BMJ
Medical cannabis: campaigner calls on home secretary to deliver on access promises.,"{""value"":""2020-06-22""}","Wise, Jacqui",BMJ
Clare Gerada: What to do with appraisal.,"{""value"":""2020-06-22""}","Gerada, Clare",BMJ
"Economic recovery plan should be linked with achieving net zero, says citizens' assembly.","{""value"":""2020-06-22""}","Wise, Jacqui",BMJ
Covid-19 is threatening the survival of US primary care.,"{""value"":""2020-06-22""}","Roehr, Bob",BMJ
"UK response to covid-19: obfuscation, misrepresentation, and ignoring advice.","{""value"":""2020-06-22""}","McAnea, Thomas C",BMJ
"NHS Test and Trace: it didn't have to be this way.","{""value"":""2020-06-22""}",,BMJ
Managing heart failure related peripheral oedema in primary care.,"{""value"":""2020-06-22""}","Bromage, Daniel; Mayhew, Joseph; Sado, Daniel",BMJ
How can I make the most of my time shielding?,"{""value"":""2020-06-22""}","Rimmer, Abi",BMJ
Helen Salisbury: When will we be well again?,"{""value"":""2020-06-23""}","Salisbury, Helen",BMJ
"Covid-19: Call for a rapid forward looking review of the UK's preparedness for a second wave-an open letter to the leaders of all UK political parties.","{""value"":""2020-06-23""}","Adebowale, Victor; Alderson, Derek; Burn, Wendy; Dixon, Jeanette; Godlee, Fiona; Goddard, Andrew; Griffin, Michael; Henderson, Katherine; Horton, Richard; Marshall, Martin; Martin, Jo; Morris, Edward; Nagpaul, Chaand; Rae, Maggie; Rafferty, Anne Marie; Taylor, Jackie",BMJ
Reconsidering the scope of US state laws allowing pharmacist substitution of generic drugs.,"{""value"":""2020-06-23""}","Darrow, Jonathan J; Chong, Jessica E; Kesselheim, Aaron S",BMJ
"Covid-19: Doctors ""face difficulties"" getting life insurance after exposure to disease.","{""value"":""2020-06-23""}","Rimmer, Abi",BMJ
David Oliver: Preventing more deaths in care homes in a second pandemic surge.,"{""value"":""2020-06-23""}","Oliver, David",BMJ
